time,BVSP.Open,BVSP.High,BVSP.Low,BVSP.Close,BVSP.Volume,BVSP.Adjusted
2023-06-09,115489,117603,115489,117019,13527100,117019
2023-06-07,114610,115978,114610,115488,14017100,115488
2023-06-06,112697,114783,112696,114610,15025400,114610
2023-06-05,112558,113071,111736,112696,9078800,112696
2023-06-02,110568,113070,110567,112558,14545800,112558
2023-06-01,108339,110745,108335,110565,14669000,110565
2023-05-31,108967,109137,108193,108335,15861100,108335
2023-05-30,110333,111291,108552,108967,11588000,108967
2023-05-29,110906,111168,110195,110333,5913000,110333
2023-05-26,110058,111706,109900,110906,11019700,110906
2023-05-25,108800,111115,108800,110054,14745300,110054
2023-05-24,109920,109920,108546,108800,12980200,108800
2023-05-23,110213,111325,109713,109929,12334800,109929
2023-05-22,110745,111643,110178,110213,11769400,110213
2023-05-19,110113,111211,109787,110745,16135800,110745
2023-05-18,109459,110206,108864,110108,13613100,110108
2023-05-17,108194,109774,108188,109460,13993000,109460
2023-05-16,109029,110151,108085,108194,16897300,108194
2023-05-15,108469,109271,108356,109029,11603200,109029
2023-05-12,108256,108817,107497,108464,11925000,108464
2023-05-11,107446,108667,106419,108256,12772100,108256
2023-05-10,107114,107744,106538,107448,13576900,107448
2023-05-09,106028,107731,105549,107114,13526600,107114
2023-05-08,105161,106716,105161,106042,13259200,106042
2023-05-05,102175,105306,102175,105148,16699500,105148
2023-05-04,101798,103321,101063,102174,14837300,102174
2023-05-03,101927,102331,101433,101797,11688200,101797
2023-05-02,104431,104447,101569,101927,12018000,101927
2023-04-28,102923,104432,102449,104432,13080900,104432
2023-04-27,102310,103177,101975,102923,11302800,102923
2023-04-26,103220,103668,102233,102312,10115500,102312
2023-04-25,103947,103947,102633,103220,10873200,103220
2023-04-24,104367,104822,103247,103947,10935400,103947
2023-04-20,103913,104615,103087,104367,12378000,104367
2023-04-19,106149,106149,103604,103913,12713600,103913
2023-04-18,106023,106475,105122,106163,11207900,106163
2023-04-17,106279,106830,105623,106016,10253400,106016
2023-04-14,106458,106701,104934,106279,11501000,106279
2023-04-13,106890,107037,106220,106458,12182900,106458
2023-04-12,106218,108277,106217,106890,17345500,106890
2023-04-11,101849,106455,101848,106214,18725700,106214
2023-04-10,100822,102196,100819,101847,8148700,101847
2023-04-06,100978,101628,100443,100822,9818500,100822
2023-04-05,101869,101960,99898,100978,13256500,100978
2023-04-04,101505,103056,101505,101869,11695800,101869
2023-04-03,101883,101916,100651,101506,12794800,101506
2023-03-31,103714,104041,101476,101882,15111200,101882
2023-03-30,101796,104085,101796,103713,14901600,103713
2023-03-29,101185,102213,100248,101793,12456100,101793
2023-03-28,99672,101559,99488,101185,13500100,101185
2023-03-27,98833,99997,98833,99670,9990600,99670
2023-03-24,97926,99258,97688,98829,0,98829
2023-03-23,100221,101126,96997,97926,0,97926
2023-03-22,100998,101888,100129,100221,11504600,100221
2023-03-21,100923,101670,100923,100998,9672100,100998
2023-03-20,101982,102328,100679,100923,0,100923
2023-03-17,103434,103434,101664,101982,17560000,101982
2023-03-16,102683,103911,102455,103435,14385800,103435
2023-03-15,102930,103048,100692,102675,15246500,102675
2023-03-14,103121,104153,102482,102932,13133800,102932
2023-03-13,103608,103907,102255,103121,12993800,103121
2023-03-10,105071,105071,103201,103618,17952200,103618
2023-03-09,106540,106724,105053,105071,19174300,105071
2023-03-08,104228,106721,104228,106540,15904100,106540
2023-03-07,104700,105179,103480,104228,12578200,104228
2023-03-06,103865,105171,103170,104700,14277800,104700
2023-03-03,103326,104440,103323,103866,13101500,103866
2023-03-02,104375,104912,103321,103326,14738800,103326
2023-03-01,104933,105497,103105,104385,19853000,104385
2023-02-28,105706,106794,104932,104932,15672400,104932
2023-02-27,105807,106402,105227,105711,9570700,105711
2023-02-24,107582,107611,105360,105873,10221100,105873
2023-02-23,107152,108663,106731,107720,11459000,107720
2023-02-22,109174,109174,106720,107152,9356400,107152
2023-02-17,109941,109941,108968,109303,10058400,109303
2023-02-16,109599,110437,108378,109905,12995900,109905
2023-02-15,107849,110210,107267,109442,15499500,109442
2023-02-14,108839,109564,107557,107659,11894600,107659
2023-02-13,108074,109193,107420,108846,9973600,108846
2023-02-10,108002,108647,107620,108150,14458000,108150
2023-02-09,109952,110046,107781,107783,12956000,107783
2023-02-08,107832,110175,107830,109882,13837000,109882
2023-02-07,108727,109037,107234,107920,12956300,107920
2023-02-06,108518,108710,107416,108456,11514600,108456
2023-02-03,110141,110570,108185,108490,13235300,108490
2023-02-02,112072,112943,109747,109935,15241800,109935
2023-02-01,113430,113598,110729,112303,17821500,112303
2023-01-31,112273,113581,112145,113532,12900200,113532
2023-01-30,112319,112920,111824,111888,11272700,111888
2023-01-27,114178,114191,112044,112502,10614500,112502
2023-01-26,114271,114835,113591,114109,10920800,114109
